 # M = 2.60 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.04272944   0.770   1.88877   3.70559   6.22751  -1.80095   0.00000   9.270E-01   0.000E+00   7.250E-02
   2  5.06055780   0.770   1.88601   3.70571   6.22911  -1.79615   0.00000   9.260E-01   0.000E+00   7.365E-02
   3  5.07768305   0.770   1.88326   3.70583   6.23071  -1.79135   0.00000   9.249E-01   0.000E+00   7.480E-02
   4  5.09415855   0.770   1.88050   3.70596   6.23231  -1.78655   0.00000   9.239E-01   0.000E+00   7.595E-02
   5  5.11003180   0.770   1.87774   3.70608   6.23391  -1.78174   0.00000   9.228E-01   0.000E+00   7.710E-02
   6  5.12534530   0.770   1.87498   3.70620   6.23551  -1.77694   0.00000   9.218E-01   0.000E+00   7.824E-02
   7  5.14013718   0.770   1.87223   3.70632   6.23712  -1.77214   0.00000   9.207E-01   0.000E+00   7.939E-02
   8  5.15444180   0.770   1.86937   3.70645   6.23877  -1.76717   0.00000   9.193E-01   0.000E+00   8.092E-02
   9  5.16829024   0.770   1.86629   3.70658   6.24056  -1.76180   0.00000   9.168E-01   0.000E+00   8.333E-02
  10  5.18171071   0.770   1.86321   3.70672   6.24235  -1.75643   0.00000   9.142E-01   0.000E+00   8.573E-02
  11  5.19472886   0.770   1.86012   3.70685   6.24415  -1.75106   0.00000   9.117E-01   0.000E+00   8.814E-02
  12  5.20736812   0.770   1.85704   3.70699   6.24594  -1.74569   0.00000   9.092E-01   0.000E+00   9.055E-02
  13  5.21964992   0.770   1.85396   3.70712   6.24773  -1.74032   0.00000   9.067E-01   0.000E+00   9.296E-02
  14  5.23159392   0.770   1.85088   3.70726   6.24952  -1.73494   0.00000   9.042E-01   0.000E+00   9.537E-02
  15  5.24321821   0.770   1.84731   3.70742   6.25159  -1.72872   0.00000   9.002E-01   0.000E+00   9.947E-02
  16  5.25453946   0.770   1.84369   3.70758   6.25370  -1.72241   0.00000   8.960E-01   0.000E+00   1.038E-01
  17  5.26557306   0.770   1.84006   3.70774   6.25580  -1.71609   0.00000   8.918E-01   0.000E+00   1.080E-01
  18  5.27633328   0.770   1.83644   3.70790   6.25790  -1.70978   0.00000   8.876E-01   0.000E+00   1.123E-01
  19  5.28683334   0.770   1.83282   3.70806   6.26000  -1.70347   0.00000   8.834E-01   0.000E+00   1.166E-01
  20  5.29708551   0.770   1.82904   3.70823   6.26220  -1.69688   0.00000   8.784E-01   0.000E+00   1.216E-01
  21  5.30710124   0.770   1.82464   3.70842   6.26475  -1.68922   0.00000   8.708E-01   0.000E+00   1.292E-01
  22  5.31689118   0.770   1.82024   3.70861   6.26731  -1.68156   0.00000   8.631E-01   0.000E+00   1.369E-01
  23  5.32646529   0.770   1.81583   3.70881   6.26986  -1.67390   0.00000   8.555E-01   0.000E+00   1.445E-01
  24  5.33583288   0.770   1.81143   3.70900   6.27241  -1.66624   0.00000   8.478E-01   0.000E+00   1.522E-01
  25  5.34500267   0.770   1.80666   3.70921   6.27518  -1.65794   0.00000   8.382E-01   0.000E+00   1.618E-01
  26  5.35398285   0.770   1.80124   3.70944   6.27832  -1.64853   0.00000   8.252E-01   0.000E+00   1.748E-01
  27  5.36278110   0.770   1.79582   3.70967   6.28146  -1.63911   0.00000   8.121E-01   0.000E+00   1.879E-01
  28  5.37140463   0.770   1.79040   3.70991   6.28460  -1.62970   0.00000   7.990E-01   0.000E+00   2.010E-01
  29  5.37986027   0.770   1.78452   3.71016   6.28801  -1.61947   0.00000   7.829E-01   0.000E+00   2.171E-01
  30  5.38815441   0.770   1.77790   3.71045   6.29185  -1.60794   0.00000   7.619E-01   0.000E+00   2.381E-01
  31  5.39629311   0.770   1.77129   3.71074   6.29569  -1.59642   0.00000   7.409E-01   0.000E+00   2.591E-01
  32  5.40428210   0.770   1.76447   3.71104   6.29965  -1.58455   0.00000   7.185E-01   0.000E+00   2.815E-01
  33  5.41212678   0.770   1.75651   3.71138   6.30426  -1.57070   0.00000   6.875E-01   0.000E+00   3.125E-01
  34  5.41983227   0.770   1.74855   3.71173   6.30888  -1.55686   0.00000   6.565E-01   0.000E+00   3.435E-01
  35  5.42740342   0.770   1.73993   3.71210   6.31388  -1.54185   0.00000   6.197E-01   0.000E+00   3.803E-01
  36  5.43484484   0.770   1.73064   3.71250   6.31926  -1.52569   0.00000   5.771E-01   0.000E+00   4.229E-01
  37  5.44216091   0.770   1.72109   3.71292   6.32479  -1.50860   0.05238   5.312E-01   0.000E+00   4.688E-01
  38  5.44935576   0.770   1.71091   3.71338   6.33065  -1.48927   0.23047   4.773E-01   0.000E+00   5.227E-01
  39  5.45643336   0.770   1.69910   3.71398   6.33583  -1.45875   0.25469   3.394E-01   0.000E+00   6.604E-01
  40  5.46339747   0.770   1.68485   3.71478   6.34000  -1.41144   0.04789   7.518E-02   0.000E+00   9.240E-01
  41  5.47025166   0.770   1.67239   3.71551   6.34433  -1.36913   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  5.47469023   0.770   1.66494   3.71596   6.34757  -1.34403   0.00000   3.292E-03   0.000E+00   9.960E-01
  43  5.47908389   0.770   1.65776   3.71641   6.35093  -1.31981   0.00000   2.599E-03   0.000E+00   9.964E-01
  44  5.48343355   0.770   1.65084   3.71685   6.35442  -1.29637   0.00000   2.000E-03   0.000E+00   9.971E-01
  45  5.48774008   0.770   1.64433   3.71728   6.35806  -1.27403   0.00000   2.000E-03   0.000E+00   9.977E-01
  46  5.49200432   0.770   1.63807   3.71770   6.36171  -1.25238   0.00000   1.636E-03   0.000E+00   9.980E-01
  47  5.49622710   0.770   1.63198   3.71810   6.36538  -1.23125   0.00000   1.011E-03   0.000E+00   9.980E-01
  48  5.50040922   0.770   1.62635   3.71851   6.36907  -1.21112   0.00000   1.000E-03   0.000E+00   9.986E-01
  49  5.50455145   0.770   1.62085   3.71891   6.37276  -1.19129   0.00000   1.000E-03   0.000E+00   9.990E-01
  50  5.50865454   0.770   1.61562   3.71930   6.37644  -1.17210   0.00000   1.000E-03   0.000E+00   9.990E-01
  51  5.51271923   0.770   1.61063   3.71968   6.38011  -1.15338   0.00000   1.000E-03   0.000E+00   9.990E-01
  52  5.51674623   0.770   1.60583   3.72006   6.38377  -1.13503   0.00000   1.000E-03   0.000E+00   9.990E-01
  53  5.52073623   0.770   1.60132   3.72043   6.38740  -1.11724   0.00000   1.000E-03   0.000E+00   9.990E-01
  54  5.52468991   0.770   1.59690   3.72080   6.39102  -1.09964   0.00000   1.000E-03   0.000E+00   9.990E-01
  55  5.52860792   0.770   1.59283   3.72116   6.39459  -1.08263   0.00000   1.000E-03   0.000E+00   9.990E-01
  56  5.53249090   0.770   1.58883   3.72151   6.39816  -1.06573   0.00000   1.000E-03   0.000E+00   9.990E-01
  57  5.53633946   0.770   1.58517   3.72187   6.40167  -1.04940   0.00000   1.000E-03   0.000E+00   9.990E-01
  58  5.54015423   0.770   1.58155   3.72222   6.40519  -1.03315   0.00000   1.000E-03   0.000E+00   9.990E-01
  59  5.54393577   0.770   1.57825   3.72256   6.40864  -1.01740   0.00000   5.842E-04   0.000E+00   9.990E-01
  60  5.54768468   0.770   1.57501   3.72289   6.41210  -1.00173   0.00000   1.081E-04   0.000E+00   9.990E-01
  61  5.55140150   0.770   1.57206   3.72323   6.41550  -0.98647   0.00000   0.000E+00   0.000E+00   9.994E-01
  62  5.55508678   0.770   1.56920   3.72356   6.41890  -0.97134   0.00000   0.000E+00   0.000E+00   9.998E-01
  63  5.55874105   0.770   1.56657   3.72389   6.42226  -0.95651   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  5.56236483   0.770   1.56409   3.72421   6.42561  -0.94188   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  5.56595862   0.770   1.56175   3.72454   6.42893  -0.92742   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  5.56952291   0.770   1.55965   3.72486   6.43222  -0.91327   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  5.57305820   0.770   1.55760   3.72517   6.43550  -0.89917   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  5.57656493   0.770   1.55589   3.72549   6.43873  -0.88545   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  5.58004358   0.770   1.55418   3.72580   6.44197  -0.87173   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  5.58349459   0.770   1.55279   3.72611   6.44517  -0.85833   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  5.58691838   0.770   1.55145   3.72642   6.44836  -0.84499   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  5.59031540   0.770   1.55034   3.72673   6.45152  -0.83186   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  5.59368606   0.770   1.54940   3.72704   6.45467  -0.81888   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  5.59703075   0.770   1.54857   3.72735   6.45781  -0.80601   0.00000   0.000E+00   0.000E+00   1.000E+00
  75  5.60034988   0.770   1.54801   3.72765   6.46092  -0.79335   0.00000   0.000E+00   0.000E+00   1.000E+00
  76  5.60364384   0.770   1.54749   3.72796   6.46403  -0.78071   0.00000   0.000E+00   0.000E+00   1.000E+00
  77  5.60691300   0.770   1.54734   3.72827   6.46712  -0.76833   0.00000   0.000E+00   0.000E+00   1.000E+00
  78  5.61015774   0.770   1.54719   3.72859   6.47021  -0.75596   0.00000   0.000E+00   0.000E+00   1.000E+00
  79  5.61337841   0.770   1.54738   3.72890   6.47327  -0.74380   0.00000   0.000E+00   0.000E+00   1.000E+00
  80  5.61657538   0.770   1.54761   3.72921   6.47633  -0.73168   0.00000   0.000E+00   0.000E+00   1.000E+00
  81  5.61974898   0.770   1.54815   3.72953   6.47938  -0.71972   0.00000   0.000E+00   0.000E+00   1.000E+00
  82  5.62289956   0.770   1.54882   3.72985   6.48242  -0.70783   0.00000   0.000E+00   0.000E+00   1.000E+00
  83  5.62602745   0.770   1.54971   3.73017   6.48545  -0.69606   0.00000   0.000E+00   0.000E+00   1.000E+00
  84  5.62913297   0.770   1.55078   3.73050   6.48848  -0.68438   0.00000   0.000E+00   0.000E+00   1.000E+00
  85  5.63221645   0.770   1.55207   3.73082   6.49151  -0.67278   0.00000   0.000E+00   0.000E+00   1.000E+00
  86  5.63527818   0.770   1.55358   3.73116   6.49453  -0.66127   0.00000   0.000E+00   0.000E+00   1.000E+00
  87  5.63831848   0.770   1.55530   3.73149   6.49754  -0.64984   0.00000   0.000E+00   0.000E+00   1.000E+00
  88  5.64133765   0.770   1.55725   3.73184   6.50055  -0.63850   0.00000   0.000E+00   0.000E+00   1.000E+00
  89  5.64433597   0.770   1.55943   3.73219   6.50356  -0.62723   0.00000   0.000E+00   0.000E+00   1.000E+00
  90  5.64731373   0.770   1.56182   3.73254   6.50657  -0.61604   0.00000   0.000E+00   0.000E+00   1.000E+00
  91  5.65027122   0.770   1.56451   3.73290   6.50958  -0.60492   0.00000   0.000E+00   0.000E+00   1.000E+00
  92  5.65320870   0.770   1.56734   3.73327   6.51260  -0.59384   0.00000   0.000E+00   0.000E+00   1.000E+00
  93  5.65612645   0.770   1.57054   3.73365   6.51562  -0.58285   0.00000   0.000E+00   0.000E+00   1.000E+00
  94  5.65902472   0.770   1.57387   3.73403   6.51864  -0.57190   0.00000   0.000E+00   0.000E+00   1.000E+00
  95  5.66190378   0.770   1.57763   3.73443   6.52166  -0.56101   0.00000   0.000E+00   0.000E+00   1.000E+00
  96  5.66476388   0.770   1.58157   3.73483   6.52470  -0.55018   0.00000   0.000E+00   0.000E+00   1.000E+00
  97  5.66760527   0.770   1.58571   3.73523   6.52773  -0.53939   0.00000   0.000E+00   0.000E+00   1.000E+00
  98  5.67042819   0.770   1.59027   3.73566   6.53078  -0.52866   0.00000   0.000E+00   0.000E+00   1.000E+00
  99  5.67323287   0.770   1.59502   3.73610   6.53383  -0.51797   0.00000   0.000E+00   0.000E+00   1.000E+00
 100  5.67601957   0.770   1.59998   3.73654   6.53689  -0.50731   0.00000   0.000E+00   0.000E+00   1.000E+00
 101  5.67878849   0.770   1.60528   3.73700   6.53997  -0.49670   0.00000   0.000E+00   0.000E+00   1.000E+00
 102  5.68153987   0.770   1.61078   3.73748   6.54306  -0.48611   0.00000   0.000E+00   0.000E+00   1.000E+00
 103  5.68427393   0.770   1.61651   3.73796   6.54619  -0.47549   0.00000   0.000E+00   0.000E+00   1.000E+00
 104  5.68699089   0.770   1.62247   3.73845   6.54937  -0.46485   0.00000   0.000E+00   0.000E+00   1.000E+00
 105  5.68969096   0.770   1.62854   3.73896   6.55250  -0.45433   0.00000   0.000E+00   0.000E+00   1.000E+00
 106  5.69237434   0.770   1.63484   3.73948   6.55563  -0.44384   0.00000   0.000E+00   0.000E+00   1.000E+00
 107  5.69504124   0.770   1.64122   3.74002   6.55880  -0.43337   0.00000   0.000E+00   0.000E+00   1.000E+00
 108  5.69769187   0.770   1.64763   3.74057   6.56197  -0.42292   0.00000   8.267E-04   0.000E+00   1.000E+00
 109  5.70032642   0.770   1.65401   3.74113   6.56515  -0.41248   0.00000   1.000E-03   0.000E+00   1.000E+00
 110  5.70294508   0.770   1.66040   3.74170   6.56836  -0.40204   0.00000   1.000E-03   0.000E+00   1.000E+00
 111  5.70554805   0.770   1.66664   3.74228   6.57158  -0.39162   0.00000   1.000E-03   0.000E+00   1.000E+00
 112  5.70813550   0.770   1.67280   3.74287   6.57482  -0.38121   0.00000   1.000E-03   0.000E+00   1.000E+00
 113  5.71070764   0.770   1.67875   3.74347   6.57806  -0.37082   0.00000   1.000E-03   0.000E+00   1.000E+00
 114  5.71326463   0.770   1.68447   3.74407   6.58133  -0.36043   0.00000   1.000E-03   0.000E+00   1.000E+00
 115  5.71580665   0.770   1.68995   3.74469   6.58460  -0.35006   0.00000   1.000E-03   0.000E+00   1.000E+00
 116  5.71833388   0.770   1.69520   3.74530   6.58789  -0.33969   0.00000   1.000E-03   0.000E+00   1.000E+00
 117  5.72084649   0.770   1.70022   3.74593   6.59118  -0.32934   0.00000   1.000E-03   0.000E+00   1.000E+00
 118  5.72334465   0.770   1.70500   3.74656   6.59449  -0.31902   0.00000   1.000E-03   0.000E+00   1.000E+00
 119  5.72582852   0.770   1.70960   3.74720   6.59780  -0.30870   0.00000   1.000E-03   0.000E+00   1.000E+00
 120  5.72829826   0.770   1.71401   3.74785   6.60111  -0.29841   0.00000   1.000E-03   0.000E+00   1.000E+00
 121  5.73075404   0.770   1.71823   3.74851   6.60443  -0.28813   0.00000   1.000E-03   0.000E+00   1.000E+00
 122  5.73319601   0.770   1.72230   3.74919   6.60775  -0.27787   0.00000   1.000E-03   0.000E+00   1.000E+00
 123  5.73562433   0.770   1.72621   3.74987   6.61108  -0.26764   0.00000   1.000E-03   0.000E+00   1.000E+00
 124  5.73803914   0.770   1.73000   3.75056   6.61441  -0.25742   0.00000   1.000E-03   0.000E+00   1.000E+00
 125  5.74044060   0.770   1.73367   3.75127   6.61774  -0.24723   0.00000   1.085E-03   0.000E+00   1.000E+00
 126  5.74282885   0.770   1.73723   3.75199   6.62107  -0.23706   0.00000   2.000E-03   0.000E+00   1.000E+00
 127  5.74520405   0.770   1.74068   3.75272   6.62440  -0.22692   0.00000   2.000E-03   0.000E+00   1.000E+00
 128  5.74756632   0.770   1.74407   3.75348   6.62773  -0.21680   0.00000   2.000E-03   0.000E+00   1.000E+00
 129  5.74991581   0.770   1.74735   3.75424   6.63106  -0.20670   0.00000   2.000E-03   0.000E+00   1.000E+00
 130  5.75225266   0.770   1.75057   3.75503   6.63438  -0.19664   0.00000   2.000E-03   0.000E+00   1.000E+00
 131  5.75457701   0.770   1.75370   3.75584   6.63771  -0.18659   0.00000   2.000E-03   0.000E+00   1.000E+00
 132  5.75688898   0.770   1.75678   3.75667   6.64103  -0.17658   0.00000   2.000E-03   0.000E+00   1.000E+00
 133  5.75918871   0.770   1.75980   3.75752   6.64435  -0.16659   0.00000   3.000E-03   0.000E+00   1.000E+00
 134  5.76147632   0.770   1.76276   3.75839   6.64766  -0.15663   0.00000   3.000E-03   0.000E+00   1.000E+00
 135  5.76375195   0.770   1.76567   3.75929   6.65097  -0.14670   0.00000   3.000E-03   0.000E+00   1.000E+00
 136  5.76601572   0.770   1.76853   3.76021   6.65428  -0.13679   0.00000   3.000E-03   0.000E+00   1.000E+00
 137  5.76826774   0.770   1.77136   3.76116   6.65760  -0.12681   0.00000   3.000E-03   0.000E+00   1.000E+00
 138  5.77050815   0.770   1.77417   3.76214   6.66097  -0.11677   0.00000   3.697E-03   0.000E+00   1.000E+00
 139  5.77273706   0.770   1.77694   3.76314   6.66431  -0.10679   0.00000   4.000E-03   0.000E+00   1.000E+00
 140  5.77495459   0.770   1.77969   3.76417   6.66768  -0.09675   0.00000   4.000E-03   0.000E+00   1.000E+00
 141  5.77716086   0.770   1.78243   3.76522   6.67109  -0.08661   0.00000   4.100E-03   0.000E+00   1.000E+00
 142  5.77935597   0.770   1.78516   3.76634   6.67456  -0.07629   0.00000   4.559E-03   0.000E+00   1.000E+00
 143  5.78154005   0.770   1.78790   3.76747   6.67803  -0.06596   0.00000   5.013E-03   0.000E+00   1.000E+00
 144  5.78371319   0.770   1.79064   3.76870   6.68161  -0.05538   0.00000   5.351E-03   0.000E+00   1.000E+00
 145  5.78587552   0.770   1.79338   3.76993   6.68518  -0.04480   0.00000   5.689E-03   0.000E+00   1.000E+00
 146  5.78802713   0.770   1.79612   3.77118   6.68875  -0.03424   0.00000   6.056E-03   0.000E+00   1.000E+00
