name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J00020623+0115360,0.525987,1.260026,20.6969318,0.0472145,ms,nan,nan,nan,nan,11.129,0.023,16.320,0.003,19.534,0.045,14.818,0.004,0,0.877,0.090,0.000,2.47102,0.00343,157.62357,-9.05931,0.24522,0.82742,0.08276,2678.09305,0.602751657,nan,nan,nan,nan,nan,0.119847444,4.82201E-05
2MASS J00023645+5156427,0.651913,51.945210,59.6114769,0.04491805,ms,nan,nan,nan,nan,8.369,0.018,10.779,0.003,11.435,0.003,10.003,0.004,0,1.014,0.696,0.000,613.53984,2.54588,27.27986,nan,nan,8.60366,0.86044,4388.28315,2.517720004,nan,nan,nan,nan,nan,0.689179006,0.000575479
2MASS J00055251+6309119,1.468813,63.153313,64.6502609,0.0383949,ms,nan,nan,nan,nan,9.065,0.021,12.026,0.003,12.964,0.003,11.068,0.004,0,1.009,0.596,0.000,311.11672,0.32281,35.15590,nan,nan,6.65017,0.66502,3942.209968,0.675576663,nan,nan,nan,nan,nan,0.609424496,7.88173E-05
2MASS J00080367+4716310,2.015296,47.275299,64.8146591,0.34599685,ms,nan,nan,nan,nan,12.600,0.022,17.037,0.003,19.276,0.041,15.660,0.005,0,1.020,0.139,0.001,8.06942,0.06685,134.03745,nan,nan,2.10431,0.21059,2983.954282,1.725234316,nan,nan,nan,nan,nan,0.172601318,0.000530841
2MASS J00085266+5312477,2.219436,53.213264,94.5429382,0.118927,ms,nan,nan,nan,nan,8.449,0.018,10.007,0.003,10.380,0.003,9.464,0.004,0,0.942,0.935,0.001,2535.78916,8.82304,15.78602,1.92668,0.01587,9.22682,0.92271,5468.144179,1.676070516,9.1900,1.54E-13,5.85E-14,r,nan,0.906767949,0.001022403
2MASS J00125716+5059173,3.238197,50.988152,33.9549408,0.037138,ms,nan,nan,nan,nan,10.517,0.022,14.781,0.003,16.796,0.005,13.455,0.004,0,1.153,0.179,0.000,14.45785,0.03732,117.69890,-6.52528,0.04629,2.71219,0.27123,3099.716869,0.466527153,0.7354,1.84E-13,6.32E-14,r,nan,0.212681085,0.000195941
2MASS J00151880+4344347,3.828348,43.742973,42.8207703,0.03947255,ms,nan,nan,nan,nan,10.396,0.023,14.373,0.003,16.130,0.005,13.107,0.004,0,1.191,0.230,0.000,27.79586,0.07239,100.36722,-9.97872,0.09011,3.38437,0.33845,3209.691062,0.434454547,1.4295,1.58E-13,6.74E-14,r,nan,0.273823905,0.000247639
2MASS J00171117+4956159,4.296580,49.937767,68.6212234,0.2769089,ms,nan,nan,nan,nan,12.417,0.025,16.654,0.003,18.697,0.017,15.324,0.004,0,0.963,0.161,0.000,11.45302,0.07338,124.83063,nan,nan,2.48568,0.24867,3057.176937,1.335422914,nan,nan,nan,nan,nan,0.195131365,0.000410899
2MASS J00195064+5044084,4.961039,50.735676,65.757019,0.38105775,ms,nan,nan,nan,nan,12.689,0.022,17.053,0.003,19.264,0.032,15.687,0.005,0,0.988,0.140,0.001,8.15541,0.07300,133.74769,nan,nan,2.11493,0.21168,2986.170692,1.863461226,nan,nan,nan,nan,nan,0.17328329,0.000573373
2MASS J00215967+4731039,5.498656,47.517776,73.1552048,0.099102,ms,nan,nan,nan,nan,10.426,0.021,14.106,0.003,15.542,0.004,12.930,0.004,0,1.082,0.391,0.000,79.49355,0.30406,61.76681,-2.28968,0.02310,4.79238,0.47924,3458.146273,0.442125525,nan,nan,nan,nan,nan,0.403219409,0.000663188
2MASS J00230123+5606549,5.755152,56.115250,79.6982269,0.4606171,ms,nan,nan,nan,nan,12.932,0.032,17.236,0.003,19.327,0.029,15.881,0.005,0,1.004,0.150,0.001,9.58971,0.08563,129.40614,nan,nan,2.28797,0.22901,3020.04764,1.858784176,nan,nan,nan,nan,nan,0.183706966,0.000571934
2MASS J00231350+4752595,5.806256,47.883217,72.2112198,0.16256335,wd,nan,nan,15.907,0.069,16.008,0.086,15.362,0.003,15.285,0.003,15.543,0.004,0,1.072,0.247,0.001,30.98193,0.13255,95.19648,nan,nan,3.53403,0.35345,3235.268267,1.011337797,nan,nan,nan,nan,nan,0.284949582,0.000438246
