name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,RP,e_RP,BP,e_BP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
[BBG2010] 55,130.26875,20.249444,183.17,12.4,uc,nan,nan,nan,nan,17.12,0.04,21.013,0.408,19.912,0.408,nan,nan,0,nan,0.068,0.0001,2.64279,0.85333,nan,nan,nan,0.88133,0.23455,2698.186,81.016,nan,nan,nan,nan,nan,0.121818601,0.008101564
[BBG2010] 909,129.87475,20.194528,183.17,12.4,uc,nan,nan,nan,nan,16.67,0.04,19.849,0.385,18.929,0.385,nan,nan,0,nan,0.069,0.0001,5.91594,1.29047,nan,nan,nan,1.77674,0.31447,2915.625,54.123,nan,nan,nan,nan,nan,0.15372401,0.008569526
[BBG2010] 99,130.438167,19.302139,183.17,12.4,uc,nan,nan,nan,nan,17.01,0.04,20.221,0.386,19.294,0.386,nan,nan,0,nan,0.068,0.0001,4.94713,1.08186,nan,nan,nan,1.5514,0.28925,2866.57,54.247,nan,1.53E-14,1.81E-15,x,0,0.145956977,0.008589115
2MASS J05451367+7703202,86.306986,77.055634,215.01,2.02,ms,nan,nan,nan,nan,12.924,0.025,16.392,0.003,15.269,0.004,17.714,0.008,0,1.01,0.4017,0.0022,88.9196,1.11285,59.90878,nan,nan,4.87725,0.48844,3473.793,4.861,nan,nan,nan,nan,nan,0.422053528,0.001350393
2MASS J08042217+1600270,121.092378,16.007524,213.23,2.42,ms,nan,nan,nan,nan,13.05,0.026,16.495,0.003,15.366,0.004,17.814,0.009,0,1.048,0.3917,0.0019,80.04256,1.81646,61.66,0.16522,0.03135,4.79671,0.47988,3458.943,2.599,nan,nan,nan,nan,nan,0.404415031,0.00389822
2MASS J08071221+6240258,121.800895,62.673843,175.97,0.41,ms,nan,nan,nan,nan,10.557,0.018,12.784,0.003,12.065,0.004,13.369,0.003,0,0.94,0.7374,0.0009,823.25535,4.73981,24.68616,nan,nan,9.14986,0.91499,4634.091,4.096,nan,nan,nan,nan,nan,0.719225355,0.00074797
2MASS J08084531+2518128,122.18883,25.303558,175.29,4.81,ms,nan,nan,nan,nan,13.619,0.035,17.677,0.003,16.395,0.006,19.52,0.059,0,1.044,0.2204,0.0033,24.58947,1.06642,103.37225,nan,nan,3.26146,0.32904,3189.218,7.091,nan,nan,nan,nan,nan,0.262154029,0.004042149
2MASS J08094862+3838584,122.452623,38.649559,173.98,2.16,ms,nan,nan,nan,nan,12.735,0.027,16.533,0.003,15.318,0.005,18.132,0.014,0,0.976,0.345,0.0033,54.30588,0.99573,70.69093,nan,nan,4.42081,0.44308,3390.042,5.261,nan,nan,nan,nan,nan,0.34576614,0.002005617
2MASS J08100303+2532440,122.51263,25.545572,196.68,1.31,ms,nan,nan,nan,nan,12.09,0.018,15.439,0.003,14.36,0.004,16.628,0.005,0,1.049,0.486,0.0028,148.42559,1.58091,47.22571,nan,nan,5.64448,0.56461,3641.38,3.681,nan,nan,nan,nan,nan,0.492155658,0.001748492
2MASS J08105733+1631414,122.73891,16.528177,175.47,0.97,ms,nan,nan,nan,nan,11.673,0.021,14.866,0.003,13.833,0.004,15.955,0.004,0,1.048,0.5264,0.0013,187.91557,1.69386,42.29686,0,0,5.96968,0.59709,3732.581,3.572,nan,nan,nan,nan,nan,0.529372612,0.001396488
2MASS J08111649+1602260,122.818737,16.040569,206.77,0.63,ms,nan,nan,nan,nan,10.56,0.019,12.421,0.003,11.801,0.004,12.882,0.003,0,1.013,0.8338,0.0016,1474.33529,5.48362,19.71543,1.55962,0.03651,9.51005,0.95109,5124.173,2.822,nan,nan,nan,nan,nan,0.787834509,0.000564309
2MASS J08111964+1946357,122.831839,19.7766,179.35,3.12,ms,nan,nan,nan,nan,13.336,0.029,17.517,0.003,16.208,0.007,19.391,0.053,0,0.997,0.2344,0.0044,28.6304,0.81263,98.96007,nan,nan,3.42462,0.34465,3216.57,6.63,nan,nan,nan,nan,nan,0.276846789,0.002873032
2MASS J08113648+4000458,122.902029,40.012737,122.71,0.36,ms,nan,nan,nan,nan,11.126,0.018,14.495,0.003,13.412,0.004,15.685,0.004,0,1.119,0.471,0.0013,140.08235,0.71072,49.24011,nan,nan,5.57133,0.55717,3621.28,1.758,nan,nan,nan,nan,nan,0.482608013,0.000835186
2MASS J08114665+1740114,122.94438,17.669842,217.12,3.05,ms,nan,nan,nan,nan,13.126,0.038,16.937,0.003,15.714,0.005,18.533,0.02,0,1.057,0.3544,0.0037,57.19844,1.1855,68.75654,-7.19841,0.19557,4.50448,0.4516,3405.067,5.939,0.715,nan,nan,nan,nan,0.351494376,0.002264421
2MASS J08120440+1602373,123.018337,16.04372,203.61,4.98,ms,nan,nan,nan,nan,13.56,0.043,17.331,0.003,16.117,0.006,18.873,0.028,0,0.988,0.2894,0.0064,39.92425,1.43946,83.54527,0,0,3.91827,0.39608,3300.969,10.255,nan,nan,nan,nan,nan,0.311806911,0.003909772
2MASS J08123580+2056387,123.149179,20.944111,192.65,4.57,ms,nan,nan,nan,nan,13.799,0.046,17.863,0.003,16.553,0.007,19.719,0.058,0,1.008,0.2215,0.0028,24.92984,0.93411,103.03012,nan,nan,3.27556,0.32972,3191.514,6.144,nan,nan,nan,nan,nan,0.263462925,0.003502274
2MASS J08124345+1225211,123.181051,12.422546,188.09,0.46,ms,nan,nan,nan,nan,10.301,0.018,12.164,0.003,11.543,0.004,12.623,0.003,0,0.886,0.8452,0.0014,1513.61861,4.72697,19.21411,nan,nan,9.41783,0.94185,5144.158,2.37,nan,nan,nan,nan,nan,0.791831578,0.00047396
2MASS J08125049+2318388,123.210381,23.310804,188.06,0.61,ms,nan,nan,nan,nan,11.096,0.019,13.796,0.003,12.933,0.004,14.58,0.003,0,1.034,0.6601,0.0007,437.61225,1.96534,29.8481,0.55189,0.05642,7.53622,0.75374,4180.437,2.78,nan,nan,nan,nan,nan,0.645685267,0.00054212
2MASS J08125259+2449380,123.219149,24.827244,184.57,2.87,ms,nan,nan,nan,nan,12.943,0.024,16.909,0.003,15.652,0.006,18.69,0.035,0,0.939,0.3148,0.0041,45.95703,1.05378,77.35605,nan,nan,4.14814,0.41646,3341.712,6.564,nan,nan,nan,nan,nan,0.327340341,0.002502477
2MASS J08130529+1823336,123.272067,18.392668,208.25,4.67,ms,nan,nan,nan,nan,13.393,0.031,17.413,0.003,16.141,0.006,19.146,0.039,0,1.032,0.2853,0.0059,39.0443,1.29049,84.57712,nan,nan,3.88071,0.39196,3294.516,9.415,nan,nan,nan,nan,nan,0.30934679,0.003589373
2MASS J08130630+1427235,123.276253,14.456531,200.3,0.96,ms,nan,nan,nan,nan,11.602,0.02,14.672,0.003,13.691,0.004,15.652,0.004,0,1.047,0.5811,0.0017,287.12557,3.31673,36.56237,0.45113,0.06979,6.50445,0.6508,3894.385,6.651,15.57,nan,nan,nan,nan,0.599096166,0.001662665
2MASS J08132978+1544434,123.374092,15.745407,192.06,0.66,ms,nan,nan,nan,nan,10.83,0.018,13.177,0.003,12.424,0.004,13.801,0.003,1,1.134,0.7146,0.0008,722.48339,3.124,26.0863,0.80294,0.03609,9.08094,0.9081,4517.816,4.283,nan,nan,nan,nan,nan,0.706836198,0.000321228
2MASS J08134619+1937525,123.442463,19.631277,211.91,6.16,ms,nan,nan,nan,nan,13.792,0.04,17.865,0.003,16.57,0.008,19.594,0.065,0,1.013,0.2361,0.0073,28.93596,1.37447,98.4441,nan,nan,3.43933,0.3499,3219.084,10.993,0.859,nan,nan,nan,nan,0.277936521,0.004763708
2MASS J08135269+1127562,123.469552,11.465626,216.15,2.03,ms,nan,nan,nan,nan,12.437,0.028,15.845,0.003,14.74,0.004,17.084,0.006,0,1.101,0.4588,0.002,128.09265,1.9672,50.93627,nan,nan,5.4827,0.54859,3597.644,3.971,nan,nan,nan,nan,nan,0.468586694,0.002382849
2MASS J08141357+1345498,123.556555,13.763854,218.83,5.75,ms,nan,nan,nan,nan,13.88,0.056,17.806,0.003,16.523,0.008,19.575,0.053,0,0.994,0.2512,0.0066,31.84939,1.3667,93.91886,nan,nan,3.57231,0.36195,3241.81,9.953,nan,nan,nan,nan,nan,0.287784178,0.004313012
2MASS J08141796+1730283,123.574861,17.507877,144.18,1.16,ms,nan,nan,nan,nan,12.159,0.024,15.697,0.003,14.536,0.004,17.101,0.008,0,1.013,0.3876,0.0014,76.36715,1.23551,62.3938,nan,nan,4.76718,0.47682,3453.5,1.859,27.54,nan,nan,nan,nan,0.396249279,0.002788009
2MASS J08143531+1546521,123.64714,15.78114,176.91,0.74,ms,nan,nan,nan,nan,11.517,0.02,14.564,0.003,13.59,0.004,15.534,0.004,1,1.042,0.5604,0.001,245.25377,2.12737,38.614,nan,nan,6.27962,0.62802,3824.423,2.728,nan,nan,nan,nan,nan,0.573932924,0.001500354
2MASS J08143901+1631423,123.662561,16.528421,193.09,3.58,ms,nan,nan,nan,nan,13.728,0.052,17.329,0.003,16.136,0.006,18.847,0.026,0,1.019,0.2756,0.0049,36.99185,1.01087,87.13871,nan,nan,3.78923,0.38167,3278.882,7.806,nan,nan,nan,nan,nan,0.303386188,0.002975931
2MASS J08155662+1134027,123.985946,11.567431,240.82,13.54,ms,nan,nan,nan,nan,14.872,0.089,18.87,0.003,17.577,0.01,20.805,0.101,0,0.988,0.1925,0.0066,17.10337,1.53046,112.89513,nan,nan,2.88914,0.30199,3128.576,14.316,nan,nan,nan,nan,nan,0.227588477,0.008159873
2MASS J08164454+2135296,124.185596,21.591566,189.8,3.8,ms,nan,nan,nan,nan,13.447,0.033,17.344,0.003,16.09,0.007,19.039,0.043,0,0.992,0.2692,0.0051,35.69306,1.16599,88.85156,nan,nan,3.73024,0.37568,3268.8,7.615,nan,nan,nan,nan,nan,0.299480105,0.003299716
2MASS J08165696+0622398,124.237345,6.377728,259.31,9.07,ms,nan,nan,nan,nan,13.998,0.056,17.859,0.003,16.611,0.009,19.533,0.059,0,1.047,0.289,0.0091,39.84632,2.05772,83.63515,nan,nan,3.91507,0.40005,3300.403,14.578,nan,nan,nan,nan,nan,0.311591239,0.005558043
2MASS J08171883+2208249,124.32849,22.140251,208.03,6.93,ms,nan,nan,nan,nan,14.165,0.049,18.261,0.003,16.992,0.012,19.993,0.092,0,0.95,0.2087,0.0039,21.1004,1.11229,107.26965,nan,nan,3.10453,0.31489,3163.657,8.581,nan,nan,nan,nan,nan,0.247584289,0.004891124
2MASS J08171969+1645598,124.332075,16.766615,229.68,2,ms,nan,nan,nan,nan,12.12,0.023,15.317,0.003,14.292,0.004,16.384,0.004,0,1.088,0.5405,0.002,207.24635,3.60503,40.7244,0.26454,0.03243,6.10239,0.61053,3771.239,5.447,17.42,nan,nan,nan,nan,0.544681407,0.002995826
2MASS J08172618+6412335,124.359098,64.209312,167.37,2.61,ms,nan,nan,nan,nan,13.639,0.031,17.669,0.003,16.393,0.005,19.484,0.049,0,0.949,0.2153,0.0019,23.0041,0.56661,105.04937,nan,nan,3.19311,0.32029,3178.085,4.064,nan,nan,nan,nan,nan,0.25580865,0.002316721
2MASS J08174411+1953132,124.433802,19.887014,196.03,2.08,ms,nan,nan,nan,nan,12.618,0.023,16.156,0.003,14.995,0.004,17.517,0.009,1,1.061,0.4054,0.0024,90.84313,1.28132,59.27122,-0.31324,0.09294,4.92262,0.49316,3482.158,5.475,nan,nan,nan,nan,nan,0.424377173,0.00152071
2MASS J08174447+1643120,124.435302,16.720007,166.14,2.92,ms,nan,nan,nan,nan,13.647,0.046,17.522,0.003,16.268,0.007,19.295,0.034,0,0.995,0.2226,0.0021,25.28344,0.70168,102.68096,nan,nan,3.29001,0.3302,3193.866,4.573,nan,nan,nan,nan,nan,0.264803865,0.002606346
2MASS J08174516+1822568,124.438206,18.382454,196.42,5.36,ms,nan,nan,nan,nan,14.01,0.038,18.057,0.003,16.773,0.008,19.873,0.065,0,1.041,0.2131,0.0032,22.34247,0.96358,105.79354,nan,nan,3.16319,0.31927,3173.211,7.053,nan,nan,nan,nan,nan,0.253030103,0.004020147
2MASS J08174779+1426323,124.44916,14.442322,211.88,3.07,ms,nan,nan,nan,nan,12.937,0.029,16.534,0.003,15.362,0.005,17.953,0.011,0,0.994,0.3875,0.0025,76.29255,2.20741,62.40916,nan,nan,4.76656,0.47699,3453.386,3.303,25.45,nan,nan,nan,nan,0.396079498,0.004954919
2MASS J08181163+1535550,124.54846,15.598623,243.94,12.98,ms,nan,nan,nan,nan,14.662,0.076,18.748,0.003,17.438,0.011,20.59,0.119,0,0.976,0.2009,0.0062,19.05701,1.61257,109.95698,nan,nan,3.00007,0.31136,3146.643,13.568,nan,nan,nan,nan,nan,0.237886409,0.007733762
2MASS J08182618+2213134,124.609103,22.2204,200.33,1.01,ms,nan,nan,nan,nan,7.994,0.024,8.621,0.003,8.374,0.004,8.749,0.003,0,1.426,1.8543,0.0051,45104.49724,429.73397,nan,nan,nan,nan,nan,8002.323,19.561,nan,nan,nan,nan,nan,1.779859117,0.001029541
2MASS J08183886-0749215,124.66193,-7.82266,256.65,12.32,ms,nan,nan,nan,nan,14.481,0.08,18.524,0.004,17.264,0.009,20.353,0.087,0,0.967,0.2194,0.0056,24.25339,1.8496,103.71603,nan,nan,3.24735,0.33337,3186.919,12.276,nan,nan,nan,nan,nan,0.260843759,0.006997362
2MASS J08183976+0648531,124.665699,6.814776,228.22,2.45,ms,nan,nan,nan,nan,12.619,0.03,15.849,0.003,14.788,0.004,16.985,0.005,0,1.002,0.4699,0.0023,139.41064,2.44218,49.3919,nan,nan,5.56561,0.5568,3619.708,4.525,nan,nan,nan,nan,nan,0.48182451,0.002715136
2MASS J08184994+1502228,124.708097,15.039692,198.29,2.54,ms,nan,nan,nan,nan,12.617,0.022,16.397,0.003,15.206,0.005,17.886,0.015,0,0.981,0.387,0.0022,75.81242,1.94011,62.50852,nan,nan,4.7626,0.47652,3452.655,2.926,19.5,nan,nan,nan,nan,0.394982799,0.004389666
2MASS J08185380+6934576,124.724189,69.582687,160.44,0.71,ms,nan,nan,nan,nan,11.886,0.019,15.569,0.003,14.378,0.004,17.062,0.006,0,1.186,0.4214,0.0011,99.60452,0.60821,56.61758,nan,nan,5.1055,0.51068,3518.146,2.379,nan,nan,nan,nan,nan,0.434373921,0.000660964
2MASS J08185663+2117221,124.735964,21.289474,196.16,5.59,ms,nan,nan,nan,nan,13.882,0.043,17.871,0.003,16.587,0.008,19.669,0.039,0,0.976,0.2232,0.0034,25.49736,1.14861,102.47273,nan,nan,3.29865,0.33295,3195.274,7.36,nan,4.08E-15,1.45E-15,c,nan,0.26560607,0.00419528
2MASS J08192215+1007452,124.842314,10.129241,251.72,17.32,ms,nan,nan,nan,nan,14.779,0.09,18.743,0.004,17.447,0.014,20.287,0.081,0,1.081,0.2049,0.008,20.08984,2.20773,108.55499,nan,nan,3.0542,0.3236,3155.459,17.416,nan,nan,nan,nan,nan,0.242911578,0.009926997
2MASS J08194638+1412297,124.943263,14.208259,223.81,0.94,ms,nan,nan,nan,nan,11.605,0.018,14.486,0.003,13.57,0.004,15.351,0.003,0,1.015,0.6293,0.0011,357.03213,2.79131,32.27059,0.60186,0.03081,6.95632,0.69591,4041.194,6.201,15.57,nan,nan,nan,nan,0.621980979,0.000845538
2MASS J08194820+1106275,124.950842,11.107662,219.91,4.97,ms,nan,nan,nan,nan,13.57,0.039,17.292,0.003,16.093,0.007,18.828,0.025,0,1.064,0.3145,0.0059,45.87717,1.52819,77.42924,nan,nan,4.1453,0.41797,3341.209,9.487,nan,nan,nan,nan,nan,0.327148364,0.003616996
2MASS J08195843+3401241,124.993476,34.023369,170.38,1.55,ms,nan,nan,nan,nan,12.299,0.023,16.105,0.003,14.901,0.005,17.615,0.01,0,0.925,0.384,0.0016,73.27788,1.33698,63.04687,nan,nan,4.74124,0.47426,3448.717,2.094,nan,nan,nan,nan,nan,0.3890758,0.003140962
2MASS J08200795+2317432,125.033137,23.295353,181.18,2.51,ms,nan,nan,nan,nan,13.143,0.026,16.864,0.003,15.655,0.005,18.419,0.015,0,0.969,0.3154,0.0037,46.10425,0.94246,77.22168,nan,nan,4.15336,0.41665,3342.638,5.859,nan,nan,nan,nan,nan,0.327693376,0.002233681
2MASS J08202478+1344215,125.103257,13.739322,200.18,3.47,ms,nan,nan,nan,nan,13.35,0.041,17.175,0.003,15.934,0.005,18.823,0.026,0,1.062,0.3039,0.0046,43.26111,1.10542,79.94754,nan,nan,4.04939,0.40703,3324.21,7.305,nan,nan,nan,nan,nan,0.320667377,0.002785099
2MASS J08203832+1107327,125.159704,11.125769,231.18,3.53,ms,nan,nan,nan,nan,12.712,0.029,16.261,0.003,15.118,0.005,17.605,0.009,0,0.993,0.432,0.0035,105.90281,2.14179,54.92781,nan,nan,5.21921,0.52324,3542.112,7.826,nan,nan,nan,nan,nan,0.441031028,0.002173891
2MASS J08204549+2131082,125.189568,21.518948,181.89,0.7,ms,nan,nan,nan,nan,11.35,0.017,14.398,0.003,13.431,0.004,15.355,0.003,0,1.054,0.5907,0.0009,305.99646,0.86265,35.65476,nan,nan,6.61747,0.66177,3931.4,1.834,nan,nan,nan,nan,nan,0.60816328,0.000213957
2MASS J08204915+1844194,125.204801,18.738745,199.43,0.73,ms,nan,nan,nan,nan,8.477,0.021,9.307,0.003,8.988,0.004,9.484,0.003,0,1.016,1.4915,0.0017,22795.67673,178.7874,nan,nan,nan,nan,nan,6977.673,8.482,1.94,nan,nan,nan,nan,1.666936741,0.002417442
2MASS J08210052+1241245,125.252196,12.690149,215.77,1.07,ms,nan,nan,nan,nan,8.656,0.014,9.521,0.003,9.193,0.004,9.708,0.003,0,1.01,1.4829,0.0022,21910.5679,226.22661,nan,nan,nan,nan,nan,6934.676,11.153,nan,nan,nan,nan,nan,1.654682557,0.003178533
2MASS J08210181+1629541,125.257578,16.498375,199.07,0.78,ms,nan,nan,nan,nan,11.193,0.018,13.848,0.003,12.993,0.004,14.621,0.004,1,1.083,0.6666,0.0008,456.35353,2.41525,29.36537,nan,nan,7.66812,0.76704,4206.454,3.275,nan,nan,nan,nan,nan,0.650758595,0.00063861
2MASS J08212622+1942192,125.359286,19.705345,219.76,5.2,ms,nan,nan,nan,nan,13.507,0.033,17.316,0.003,16.093,0.007,18.966,0.033,0,1.053,0.3114,0.0062,45.09606,1.57288,78.15618,nan,nan,4.11724,0.41552,3336.237,9.926,nan,nan,nan,nan,nan,0.325252777,0.003784367
2MASS J08212766+2702344,125.365285,27.0429,184.71,1.21,ms,nan,nan,nan,nan,12.038,0.023,15.607,0.003,14.464,0.004,16.935,0.006,0,1.041,0.4488,0.0014,118.62981,1.28389,52.38566,nan,nan,5.38782,0.53895,3577.646,2.805,nan,nan,nan,nan,nan,0.456587759,0.001682991
2MASS J08214742+1327148,125.447584,13.454133,215.24,0.74,ms,nan,nan,nan,nan,11.195,0.022,13.658,0.003,12.861,0.004,14.343,0.003,0,1.009,0.6954,0.0004,600.68119,5.87691,27.34167,0.71259,0.04335,8.54432,0.85487,4375.405,5.92,nan,nan,nan,nan,nan,0.68623541,0.00135308
2MASS J08215034+1929206,125.459774,19.489063,186.34,0.82,ms,nan,nan,nan,nan,8.025,0.038,8.698,0.003,8.432,0.004,8.84,0.003,0,1.095,1.8096,0.006,35033.51338,324.01619,nan,nan,nan,nan,nan,7588.576,18.992,nan,nan,nan,nan,nan,1.747,0
