Name,RAJ2000,DEJ2000,memclass,Kmag,e_Kmag,r_K,Gmag,e_Gmag,BP-RP,bin,RUWE,D,e_D,mass,e_mass,Lbol,e_Lbol,tau,Prot,EW,e_EW,chi,e_chi,NSPTP
Gaia DR3 1052409756529363968,159.2309141,63.71679863,ms,10.388,0.019,2M,13.929751,0.003091,2.323947,0,4.779,86.3487473,1.13982395,0.481812284,0.009337202,146.0395613,5.327898726,47.77997601,nan,nan,nan,5.623991591,0.025145582,43
Gaia DR3 1053864925808673024,161.9550497,60.79542013,ms,10.978,0.023,2M,14.488081,0.002783,2.478549,0,1.143,89.602829,0.1567116,0.397043788,0.001891136,85.11425801,1.873471459,60.71610271,nan,nan,nan,4.835299327,0.013487018,43
Gaia DR3 1329517301255977728,245.3362864,35.89769344,ms,7.561,0.026,2M,8.523954,0.002762,0.58471,0,0.948,102.56926,0.1518825,1.247013558,0.013262244,10275.35742,318.623377,8.740633997,nan,4.891007339,0.205447659,8.857369146,0.025340722,14
Gaia DR3 1372405882601051520,240.2081659,36.28922147,ms,13.089,0.035,2M,17.12747,0.002901,3.147036,0,0.981,112.557083,0.681915,0.19190235,0.003015328,16.9608977,0.678834739,113.1260684,nan,nan,nan,2.880565057,0.037699937,44
Gaia DR3 1372827991986905984,236.6787811,35.54729453,ms,13.121,0.03,2M,17.11245,0.002883,3.054868,0,0.991,109.715218,0.7226905,0.184841638,0.002678672,15.47178652,0.548887594,115.6988751,nan,nan,nan,2.786324448,0.032314232,44
Gaia DR3 1374882047210011392,232.9023251,35.48203357,ms,13.788,0.043,2M,18.015104,0.003134,3.552648,0,1.014,108.459457,1.163475,0.13524262,0.00317281,7.57774487,0.393122512,135.7707276,nan,nan,nan,2.04128664,0.044663401,44.5
Gaia DR3 1377477036386462720,234.6631213,39.27972592,ms,13.436,0.036,2M,17.551138,0.002928,3.239628,0,1.001,107.907188,0.722523,0.15740505,0.002521234,10.78877627,0.442442504,126.3493736,nan,nan,nan,2.419152064,0.041532389,44.5
Gaia DR3 1381653943621833216,244.0231989,41.73654401,ms,10.158,0.02,2M,13.064432,0.002945,1.770361,0,1.161,111.615211,0.13485,0.624387156,0.002879869,345.0999104,6.933962254,32.67951899,5.495228572,-1.043337868,0.03079099,6.870013226,0.050112866,38
Gaia DR3 1384397564433951744,238.967475,42.84067104,ms,9.387,0.015,2M,11.521865,0.002831,1.184522,0,1.099,117.055214,0.1820755,0.793590765,0.003794218,1190.023875,31.60229929,21.61959759,nan,1.093106398,0.045955949,9.446174277,0.04301912,33
Gaia DR3 1385282946173354880,242.5789839,43.62165199,ms,15.19,0.186,2M,20.46696,0.007215,2.365808,0,1.059,106.956596,6.220295,0.083369829,0.002932218,1.749189512,0.511605221,161.1016249,nan,-22.09313685,4.33501418,0.503307195,0.106633274,46
Gaia DR3 1385307066709693696,242.5514183,43.92511941,ms,15.188,0.186,2M,20.123003,0.005588,2.719713,0,1.118,126.537331,5.9218445,0.090347087,0.003162597,2.542119703,0.620696235,157.4018288,nan,nan,nan,0.851161272,0.149705795,46.5
Gaia DR3 1385555182675582592,244.4637695,44.78003184,ms,9.989,0.018,2M,12.447611,0.002765,1.461341,0,1.097,118.633812,0.1252825,0.67839453,0.003631288,492.3660099,11.66315843,28.51518132,10.85705563,0.616780831,0.016968066,7.93447441,0.081391478,35
Gaia DR3 1385671692252714752,245.1709757,45.15951109,ms,9.935,0.02,2M,12.011927,0.002761,1.187741,0,0.937,121.992294,0.1573715,0.693473691,0.001239356,574.804666,16.63962899,27.47073311,18,1.048449949,0.032594959,8.420950365,0.079154464,32
Gaia DR3 1386173761045582336,242.7529462,45.041797,wd,16.66158636,0.085578239,GBP,16.776207,0.002873,0.102625,0,1.299,106.64463,0.662983,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
Gaia DR3 1386467639887852672,242.2662917,45.92522861,ms,8.744,0.019,2M,10.434198,0.002759,0.990781,0,0.898,104.764244,0.101208,0.912416757,0.004748478,2252.791938,56.10825103,16.57491115,7,1.977791602,0.045474406,9.003681669,0.046116293,29
Gaia DR3 1386644661259555584,242.9878977,45.96221561,ms,13.09,0.037,2M,17.29514,0.002958,3.427331,0,0.99,121.574745,0.9810675,0.205315923,0.003300851,20.19596829,0.886510196,108.4161675,nan,-4.40454876,0.46400621,3.059598461,0.039854219,44.5
Gaia DR3 1391177329226158976,233.3838345,42.98947227,ms,7.693,0.027,2M,8.646077,0.002762,0.581097,0,0.98,117.49987,0.1687625,1.310168166,0.010404558,12958.55715,514.4349281,7.886337234,nan,4.137973968,0.042981348,nan,nan,14
Gaia DR3 1395494252395031552,229.5451764,45.76542447,ms,11.819,0.026,2M,15.632773,0.003048,2.815689,1,1.075,99.2642593,0.26869205,0.318158428,0.004847405,46.81269093,1.270953537,76.58470457,0.678750203,-7.29522897,0.11826859,4.178271058,0.042673321,43.5
Gaia DR3 1395517032901515136,229.1452103,46.09660619,ms,8.976,0.019,2M,10.569981,0.00276,0.877247,0,0.954,123.23658,0.164879,0.942637418,0.005191282,2662.766305,130.4089265,15.54172128,nan,2.508492183,0.021543213,9.34529723,0.140467736,28
Gaia DR3 1395617397696717568,231.6710409,45.96957445,ms,11.352,0.02,2M,14.560771,0.002775,2.179959,0,1.018,111.572929,0.172867,0.413147433,0.004054285,94.98432957,2.242847228,57.96862496,nan,0.272357575,0.02494268,5.017134175,0.04881714,41
Gaia DR3 1396086266390859008,231.18076,47.52155986,ms,13.826,0.054,2M,18.566278,0.004151,3.844148,0,1.265,117.240807,2.068115,0.143759638,0.004292163,8.679684736,0.614663186,132.058774,nan,-6.091384845,0.835446117,2.17738646,0.056088923,45.5
Gaia DR3 1397269482636984960,235.2220205,43.90139218,ms,12.483,0.021,2M,16.30605,0.002853,2.918983,0,0.989,101.551819,0.384018,0.222769094,0.00181674,25.34621058,0.606430871,102.6196292,nan,nan,nan,3.292549124,0.022619962,43.5
Gaia DR3 1397582323759513600,234.8758275,45.05597873,ms,14.955,0.111,2M,20.2728,0.0081,nan,0,1.069,125.313057,10.0217665,0.094122707,0.006446542,3.16047821,0.691702897,155.4398098,nan,nan,nan,1.064370298,0.101459839,48
Gaia DR3 1397781232284618880,236.137788,46.16536427,ms,13.628,0.034,2M,17.94309,0.003157,3.385505,0,1.073,100.190926,1.0124854,0.134447922,0.002624582,7.482353569,0.319690708,136.1230753,nan,-4.308004997,0.693590877,2.02858757,0.035315248,45
Gaia DR3 1398044741413959424,237.9309385,46.71264658,ms,12.844,0.037,2M,16.490213,0.002836,2.739345,0,0.973,116.74572,0.4433745,0.218079096,0.003057863,23.84538586,0.968108626,104.1416583,nan,nan,nan,3.229950864,0.039854219,43
Gaia DR3 1398970049168323456,242.7847,47.22522006,ms,12.877,0.036,2M,16.68759,0.002872,2.89584,0,1.013,112.103554,0.503357,0.208293493,0.00300812,20.99396289,0.838204047,107.4012847,nan,nan,nan,3.099340635,0.038777078,43.5
Gaia DR3 1399289246841575168,241.455773,47.99495061,ms,14.034,0.066,2M,18.444962,0.003446,3.490211,0,1.047,126.297058,2.5635525,0.140746089,0.005140626,8.272578896,0.706460304,133.3588371,nan,nan,nan,2.129230697,0.068553128,45
Gaia DR3 1399409956898417920,243.3298342,48.99102618,ms,11.322,0.016,2M,14.795158,0.002802,2.473176,1,1.928,113.877205,0.383957,0.428047458,0.003511854,103.490867,2.113447094,55.55567729,nan,nan,nan,5.176487297,0.034162405,42
Gaia DR3 1400123058908995456,241.7840241,49.08308995,ms,7.072,0.021,2M,7.577519,0.002768,0.328237,0,1.017,105.610641,0.250557,1.495202005,0.008314815,23183.94774,904.9550632,0,nan,nan,nan,nan,nan,7
Gaia DR3 1400204074875429376,242.2812832,49.16700317,ms,13.957,0.061,2M,18.732439,0.003708,4.148811,0,0.997,129.41777,2.956444,0.149195454,0.005090082,9.465346542,0.800045661,129.7499495,nan,nan,nan,2.273440886,0.070374326,45.5
Gaia DR3 1400270771423889152,242.1446954,49.5255089,ms,10.431,0.014,2M,13.686816,0.003071,2.002302,1,1.139,118.194992,0.1612625,0.581700523,0.002043555,288.3267582,4.098993275,36.50443405,0.581025237,-4.163448849,0.040238409,6.512223926,0.025710128,41.5
Gaia DR3 1400566677489835776,241.8482896,50.67339833,ms,14.748,0.099,2M,19.623613,0.004795,3.119807,0,1.083,125.377739,4.684242,0.100815257,0.004082721,3.881385732,0.518314425,152.0294998,nan,nan,nan,1.255350439,0.111379599,45.5
Gaia DR3 1400704494401167616,233.7745129,45.78246777,ms,10.561,0.018,2M,13.697494,0.002777,2.058306,0,1.087,100.445892,0.1104165,0.512678529,0.002593746,170.9302654,3.090151178,43.89978376,nan,0.128,0.029,5.839144688,0.025736408,40.5
Gaia DR3 1401952440098841984,234.1347678,48.27971613,ms,9.291,0.015,2M,11.233785,0.00279,1.122727,0,0.962,104.179443,0.138611,0.745279512,0.005197562,866.09596,29.51455764,24.22521347,9.896918365,1.133188923,0.022397926,9.174503827,0.015978712,32
Gaia DR3 1402811704140244736,234.9251558,50.42616672,ms,11.424,0.017,2M,15.854127,0.004272,2.81396,0,2.483,102.253807,2.1467745,0.384133777,0.003914433,73.3588077,3.381658147,63.02930954,1.287838215,-4.5812919,0.57956493,4.741931949,0.009968665,45
Gaia DR3 1402853829178841728,235.0541516,50.70764686,ms,14.167,0.069,2M,18.645512,0.003572,3.439349,0,1.038,140.840912,3.0898665,0.147480955,0.005431259,9.210154508,0.832949034,130.4731847,nan,nan,nan,2.243010455,0.079603746,45
Gaia DR3 1402913963017184512,238.4774504,48.82565963,ms,12.411,0.026,2M,16.066969,0.002813,2.741248,0,1.033,112.397591,0.4527205,0.261204855,0.004216837,33.93100551,0.918212076,91.06330125,1.33792,-3.8738951,0.29224428,3.660063851,0.035108126,43
Gaia DR3 1403082909850677504,238.649889,49.39545751,ms,8.544,0.019,2M,9.777685,0.002775,0.747212,0,0.886,116.545593,0.1584245,1.006352083,0.004973822,4070.098381,110.2309039,13.62770346,4.191259898,2.573180654,0.046748992,9.526959437,0.023192524,19
Gaia DR3 1403197533938081536,238.182184,49.62562601,ms,12.909,0.033,2M,16.462318,0.002817,2.589134,0,1.005,129.940323,0.6580125,0.233032971,0.005351623,28.38729752,0.978446831,99.37677452,nan,nan,nan,3.412798338,0.044560314,43
Gaia DR3 1403250516654722432,237.188598,49.8301119,ms,13.188,0.034,2M,17.093512,0.002956,2.94655,0,1.063,130.434708,1.215683,0.209734778,0.003192283,21.39147947,0.907457601,106.913937,nan,nan,nan,3.118577737,0.036622796,44
Gaia DR3 1403666505711218176,240.8145665,51.23478544,ms,15.18,0.164,2M,20.450798,0.007759,2.55023,0,1.021,121.21714,7.0291555,0.088870389,0.003720906,2.325643304,0.5555059,158.176798,nan,nan,nan,0.756771451,0.199997966,46
Gaia DR3 1403763988584402432,240.5101225,51.33476259,ms,nan,nan,nan,16.927969,0.005181,nan,0,1.505,108.819099,1.6556015,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
Gaia DR3 1403763988584783232,240.5101563,51.33532942,ms,9.251193892,0.085575656,GBP,11.162004,0.002795,1.044054,0,1.222,118.65773,0.187321,0.863071523,0.027764563,1593.904092,276.2336463,18.46330214,7.691453176,1.254912739,0.030270789,9.227719087,0.640051906,32
Gaia DR3 1404056763619103744,237.1330198,50.53548002,ms,14.404,0.084,2M,18.918737,0.003609,3.313886,0,0.957,124.095947,2.620209,0.116242945,0.004773405,5.415619245,0.56623835,144.4855558,nan,-4.95727095,1.002316142,1.663080448,0.10800446,45
Gaia DR3 1404114487979918336,237.3816227,50.87060311,ms,10.118,0.019,2M,12.6982,0.0028,1.543424,0,1.122,121.922722,0.162327,0.664474954,0.003842448,450.1043915,11.28978039,29.52303001,10.91234436,0.451543479,0.019911067,7.621396496,0.074143495,36
Gaia DR3 1404488390652463872,237.9241788,52.30631432,ms,9.439,0.014,2M,11.321857,0.002829,1.09742,0,0.897,115.948784,0.1711235,0.773997879,0.004883306,1042.263288,33.33647251,22.63162422,8.101902066,1.282392906,0.020747439,9.281798551,0.028493613,31
Gaia DR3 1404650366755641728,238.5259317,51.96382277,ms,12.546,0.027,2M,16.60884,0.003085,3.131488,0,1.31,115.138214,0.6211205,0.248481712,0.004524724,31.30459474,0.909881734,94.71479257,nan,nan,nan,3.548392422,0.036458439,44
Gaia DR3 1404652153462037248,238.5987097,52.07400253,ms,12.929,0.032,2M,16.913624,0.002958,3.010018,0,1.023,123.436218,0.851692,0.220983965,0.002848727,24.76413602,0.935364515,103.1959291,nan,nan,nan,3.268722685,0.034468514,44
