Name,RAJ2000,DEJ2000,RUWE,Gmag,e_Gmag,BP-RP,Kmag,e_Kmag,r_K,D,e_D,bin,Prot,EW,e_EW,chi,e_chi,mass,e_mass,Lbol,e_Lbol,tau,NSPTP
Gaia DR3 111019720578786560,49.45467573,24.34802046,2.505,14.441338,0.002902,2.580056,10.767,0.021,2M,138.388367,1.0804745,0,2.27,nan,nan,6.537264719,0.036294414,0.583720309,0.003849087,292.3777412,7.878170935,36.3116221,43
Gaia DR3 111721552594418304,47.40065592,24.90684031,1.098,12.117957,0.003023,1.289776,9.865,0.015,2M,125.097603,0.236973,0,5.44,nan,nan,8.936774,0.066140844,0.705160366,0.003110576,686.7904288,11.5742155,26.69360959,33
Gaia DR3 117138193548596480,51.18935976,25.17817264,1.106,14.590978,0.002972,2.289307,11.178,0.02,2M,131.0952,0.4971085,0,0.848,-6.11636327,1.31011597,5.794436164,0.028596009,0.50821152,0.003088873,165.7364143,3.574345476,44.43745664,42
Gaia DR3 117709729140216320,52.20319153,26.49936899,0.92,11.783889,0.0028,1.077126,9.924,0.019,2M,152.475586,0.3781585,0,6.48431835,1.77843194,0.03347985,9.573840264,0.054490886,0.804582087,0.004875576,1283.89539,43.97707708,21.07686886,31
Gaia DR3 118010205052095104,51.01213191,27.06373886,0.981,12.685639,0.003851,1.495883,9.942,0.018,2M,124.043861,0.221596,0,0.6804,nan,nan,8.566624876,0.071239018,0.695731829,0.001129694,605.4826016,15.95655007,27.31841623,36
Gaia DR3 118078791386289920,52.04616491,27.30723063,1.01,10.601268,0.002801,0.894077,9.1,0.02,2M,131.875549,0.323944,0,4.15,nan,nan,9.572656132,0.049530411,0.950785774,0.004813405,2857.340786,47.90010184,15.27774831,24
Gaia DR3 119520079331712896,54.1838006,28.55046509,1.057,12.18186,0.002803,1.295434,9.923,0.02,2M,137.953644,0.328163,0,nan,1.1651817,0.02660195,9.158844393,0.021304949,0.740279417,0.007025208,838.6210277,38.85716082,24.51687398,33
Gaia DR3 121349735399525632,52.76391564,31.32063922,1.205,11.189152,0.002807,1.104316,9.277,0.017,2M,124.437744,0.461067,0,nan,1.38045415,0.34252945,8.616847357,0.078547393,0.884823151,0.002806113,1836.859688,48.09291843,17.59818975,31
Gaia DR3 163355546348513152,60.16344879,26.73870968,1.015,14.682872,0.002861,2.333519,11.17,0.018,2M,137.000946,0.498329,0,nan,-3.49091386,0.0824827,5.937873506,0.024275836,0.523024098,0.002806984,183.5928117,3.594594069,42.68405366,42
Gaia DR3 163647015711395584,59.68626929,27.39546885,0.985,12.728684,0.002781,1.49542,10.153,0.025,2M,141.638397,0.346886,0,9.3,1.10817027,0.04848257,8.855848896,0.110234739,0.701489786,0.005111682,673.3789647,18.74964688,26.9347269,36
